County_Code,Deaths,Population,State,County_nm
13309,-1,7421,GA,Wheeler
13311,-1,27144,GA,White
13313,14,102599,GA,Whitfield
13315,-1,9255,GA,Wilcox
13317,-1,10593,GA,Wilkes
13319,-1,9563,GA,Wilkinson
13321,-1,21679,GA,Worth
15001,19,185079,HI,Hawaii
15003,108,953207,HI,Honolulu
15005,-1,90,HI,Kalawao
15007,-1,67091,HI,Kauai
15009,20,154834,HI,Maui
16001,47,392365,ID,Ada
16003,-1,3976,ID,Adams
16005,13,82839,ID,Bannock
16007,-1,5986,ID,Bear Lake
16009,-1,9285,ID,Benewah
16011,-1,45607,ID,Bingham
16013,-1,21376,ID,Blaine
16015,-1,7028,ID,Boise
16017,-1,40877,ID,Bonner
16019,19,104234,ID,Bonneville
16021,-1,10972,ID,Boundary
16023,-1,2891,ID,Butte
16025,-1,1117,ID,Camas
16027,20,188923,ID,Canyon
16029,-1,6963,ID,Caribou
16031,-1,22952,ID,Cassia
16033,-1,982,ID,Clark
16035,-1,8761,ID,Clearwater
16037,-1,4368,ID,Custer
16039,-1,27038,ID,Elmore
16041,-1,12786,ID,Franklin
16043,-1,13242,ID,Fremont
16045,-1,16719,ID,Gem
16047,-1,15464,ID,Gooding
16049,-1,16267,ID,Idaho
16051,-1,26140,ID,Jefferson
16053,-1,22374,ID,Jerome
16055,13,138494,ID,Kootenai
16057,-1,37244,ID,Latah
16059,-1,7936,ID,Lemhi
16061,-1,3821,ID,Lewis
16063,-1,5208,ID,Lincoln
16065,-1,37536,ID,Madison
16067,-1,20069,ID,Minidoka
16069,-1,39265,ID,Nez Perce
16071,-1,4286,ID,Oneida
16073,-1,11526,ID,Owyhee
16075,-1,22623,ID,Payette
16077,-1,7817,ID,Power
16079,-1,12765,ID,Shoshone
16081,-1,10170,ID,Teton
16083,15,77230,ID,Twin Falls
16085,-1,9862,ID,Valley
16087,-1,10198,ID,Washington
17001,-1,67103,IL,Adams
17003,-1,8238,IL,Alexander
17005,-1,17768,IL,Bond
17007,-1,54165,IL,Boone
17009,-1,6937,IL,Brown
17011,-1,34978,IL,Bureau
17013,-1,5089,IL,Calhoun
17015,-1,15387,IL,Carroll
17017,-1,13642,IL,Cass
17019,14,201081,IL,Champaign
17021,-1,34800,IL,Christian
17023,-1,16335,IL,Clark
17025,-1,13815,IL,Clay
17027,-1,37762,IL,Clinton
17029,-1,53873,IL,Coles
17031,488,5194675,IL,Cook
17033,-1,19817,IL,Crawford
17035,-1,11048,IL,Cumberland
17037,-1,105160,IL,DeKalb
17039,-1,16561,IL,De Witt
17041,-1,19980,IL,Douglas
17043,75,916924,IL,DuPage
17045,-1,18576,IL,Edgar
17047,-1,6721,IL,Edwards
17049,-1,34242,IL,Effingham
17051,-1,22140,IL,Fayette
17053,-1,14081,IL,Ford
17055,10,39561,IL,Franklin
17057,-1,37069,IL,Fulton
17059,-1,5589,IL,Gallatin
17061,-1,13886,IL,Greene
17063,-1,50063,IL,Grundy
17065,-1,8457,IL,Hamilton
17067,-1,19104,IL,Hancock
17069,-1,4320,IL,Hardin
17071,-1,7331,IL,Henderson
17073,-1,50486,IL,Henry
17075,-1,29718,IL,Iroquois
17077,-1,60218,IL,Jackson
17079,-1,9698,IL,Jasper
17081,-1,38827,IL,Jefferson
17083,-1,22985,IL,Jersey
17085,-1,22678,IL,Jo Daviess
17087,-1,12582,IL,Johnson
17089,32,515269,IL,Kane
17091,13,113449,IL,Kankakee
17093,-1,114736,IL,Kendall
17095,-1,52919,IL,Knox
17097,95,703462,IL,Lake
17099,29,113924,IL,LaSalle
17101,-1,16833,IL,Lawrence
17103,-1,36031,IL,Lee
17105,-1,38950,IL,Livingston
17107,-1,30305,IL,Logan
17109,-1,32612,IL,McDonough
17111,40,308760,IL,McHenry
17113,20,169572,IL,McLean
17115,-1,110768,IL,Macon
17117,-1,47765,IL,Macoupin
17119,63,269282,IL,Madison
17121,14,39437,IL,Marion
17123,-1,12640,IL,Marshall
17125,-1,14666,IL,Mason
17127,-1,15429,IL,Massac
17129,-1,12705,IL,Menard
17131,-1,16434,IL,Mercer
17133,-1,32957,IL,Monroe
17135,-1,30104,IL,Montgomery
17137,-1,35547,IL,Morgan
17139,-1,14846,IL,Moultrie
17141,-1,53497,IL,Ogle
17143,21,186494,IL,Peoria
17145,-1,22350,IL,Perry
17147,-1,16729,IL,Piatt
17149,-1,16430,IL,Pike
17151,-1,4470,IL,Pope
17153,-1,6161,IL,Pulaski
17155,-1,6006,IL,Putnam
17157,-1,33476,IL,Randolph
17159,-1,16233,IL,Richland
17161,10,147546,IL,Rock Island
17163,28,270056,IL,St. Clair
17165,-1,24913,IL,Saline
17167,12,197465,IL,Sangamon
17169,-1,7544,IL,Schuyler
17171,-1,5355,IL,Scott
17173,-1,22363,IL,Shelby
17175,-1,5994,IL,Stark
17177,10,47711,IL,Stephenson
17179,14,135394,IL,Tazewell
17181,-1,17808,IL,Union
17183,12,81625,IL,Vermilion
17185,-1,11947,IL,Wabash
17187,-1,17707,IL,Warren
17189,-1,14716,IL,Washington
17191,-1,16760,IL,Wayne
17193,-1,14665,IL,White
17195,-1,58498,IL,Whiteside
17197,63,677560,IL,Will
17199,16,66357,IL,Williamson
17201,58,295266,IL,Winnebago
17203,-1,38664,IL,Woodford
18001,-1,34387,IN,Adams
18003,44,355329,IN,Allen
18005,15,76794,IN,Bartholomew
18007,-1,8854,IN,Benton
18009,-1,12766,IN,Blackford
18011,-1,56640,IN,Boone
18013,-1,15242,IN,Brown
18015,-1,20155,IN,Carroll
18017,-1,38966,IN,Cass
18019,20,110232,IN,Clark
18021,-1,26890,IN,Clay
18023,-1,33224,IN,Clinton
18025,-1,10713,IN,Crawford
18027,-1,31648,IN,Daviess
18029,11,50047,IN,Dearborn
18031,-1,25740,IN,Decatur
18033,-1,42223,IN,De Kalb
18035,13,117671,IN,Delaware
18037,-1,41889,IN,Dubois
18039,14,197559,IN,Elkhart
18041,-1,24277,IN,Fayette
18043,14,74578,IN,Floyd
18045,-1,17240,IN,Fountain
18047,-1,23087,IN,Franklin
18049,-1,20836,IN,Fulton
18051,-1,33503,IN,Gibson
18053,14,70061,IN,Grant
18055,10,33165,IN,Greene
18057,27,274569,IN,Hamilton
18059,10,70002,IN,Hancock
18061,-1,39364,IN,Harrison
18063,15,145448,IN,Hendricks
18065,15,49462,IN,Henry
18067,27,82752,IN,Howard
18069,-1,37124,IN,Huntington
18071,10,42376,IN,Jackson
18073,-1,33478,IN,Jasper
18075,-1,21253,IN,Jay
18077,-1,32428,IN,Jefferson
18079,-1,28525,IN,Jennings
18081,21,139654,IN,Johnson
18083,-1,38440,IN,Knox
18085,-1,77358,IN,Kosciusko
18087,-1,37128,IN,Lagrange
18089,18,496005,IN,Lake
18091,13,111467,IN,La Porte
18093,-1,46134,IN,Lawrence
18095,42,131636,IN,Madison
18097,151,903393,IN,Marion
18099,-1,47051,IN,Marshall
18101,-1,10334,IN,Martin
18103,-1,36903,IN,Miami
18105,25,137974,IN,Monroe
18107,-1,38124,IN,Montgomery
18109,16,68894,IN,Morgan
18111,-1,14244,IN,Newton
18113,-1,47536,IN,Noble
18115,-1,6128,IN,Ohio
18117,-1,19840,IN,Orange
18119,-1,21575,IN,Owen
18121,-1,17339,IN,Parke
18123,-1,19338,IN,Perry
18125,-1,12845,IN,Pike
18127,33,164343,IN,Porter
18129,-1,25910,IN,Posey
18131,-1,13402,IN,Pulaski
18133,-1,37963,IN,Putnam
18135,-1,26171,IN,Randolph
18137,-1,28818,IN,Ripley
18139,-1,17392,IN,Rush
18141,29,266931,IN,St. Joseph
18143,-1,24181,IN,Scott
18145,-1,44436,IN,Shelby
18147,-1,20952,IN,Spencer
18149,-1,23363,IN,Starke
18151,-1,34185,IN,Steuben
18153,-1,21475,IN,Sullivan
18155,-1,10613,IN,Switzerland
18157,12,172780,IN,Tippecanoe
18159,-1,15936,IN,Tipton
18161,-1,7516,IN,Union
18163,51,179703,IN,Vanderburgh
18165,-1,16212,IN,Vermillion
18167,18,107848,IN,Vigo
18169,10,32888,IN,Wabash
18171,-1,8508,IN,Warren
18173,-1,59689,IN,Warrick
18175,-1,28262,IN,Washington
