fips,year,deaths_clean,mortality_rate,log_mortality,opioids_in_gm,pop_clean,hhincome_clean,age_clean,white_clean,percent_white,coef_opioids_in_gm,coef_hhincome_clean,coef_age_clean,coef_pop_clean,coef_opioids_per1000_gm
35061,2006,25,33.5327413686724,3.51252231582001,16359.955360299999,74554,42044,36.9,27289,36.602999168388,3.0394127984741302e-05,-3.26457003617629e-05,-0.0168211072889772,-0.0150061828963359,0.0303941279847413
36001,2006,19,6.249342174507951,1.8324762061301898,31840.473315575,304032,56090,38.1,234051,76.98235712030309,5.50861993984126e-06,-7.55337757031333e-06,0.13408363064429,-0.0167673259055592,0.0055086199398412606
36005,2006,193,14.1316882974244,2.64841967274533,130765.738678875,1365725,34264,32.6,156489,11.458309688993001,1.87001393551965e-06,-1.6691718581738502e-05,0.0172176569804003,0.0092697320717543,0.00187001393551965
36015,2006,10,11.272940433782699,2.4224052020763502,13422.7144035,88708,44502,40.6,78096,88.03715561166972,6.85669782701115e-06,3.26732949183003e-06,0.0192928598849669,0.00362311480996347,0.00685669782701115
36027,2006,24,8.103946622004921,2.09235118030141,45225.862745175094,296152,69838,39.4,223771,75.5595099813609,2.20155438343559e-06,-1.3684515635885601e-05,0.0441487582180322,0.00215733530401208,0.00220155438343559
36029,2006,55,5.97046033334708,1.7868240321951898,240572.984321225,921202,47372,40.0,721497,78.3212585296167,-7.50370907163372e-09,3.44776031559191e-06,-0.0038720088937509397,-0.000839974129171139,-7.503709071633721e-06
36047,2006,255,10.3373544966681,2.3357639849586698,162624.785060125,2466782,43567,34.1,878857,35.627672003444204,1.99160731766294e-06,-1.6719732658398902e-05,0.00938393568480933,0.0109222940464604,0.0019916073176629396
36055,2006,55,7.419658587782661,2.00413304369247,140245.81018275,741274,51303,38.1,545990,73.6556253153355,2.9612848105960097e-06,2.62840318946689e-05,-0.0166586702109122,0.00806318076270429,0.0029612848105960102
36059,2006,124,9.329740881494981,2.23320724185783,225290.377934875,1329083,93613,40.7,891002,67.0388531039822,1.73742081583477e-06,-1.74588102740672e-05,-0.00549413075550476,0.0146342437155038,0.00173742081583478
36061,2006,201,12.6946433026283,2.5411801172926802,234194.72286135,1583345,64971,36.3,756591,47.784342641685804,1.8247895045863201e-06,-1.83635070135885e-05,-0.00628143056786179,0.0135809845416768,0.0018247895045863198
36063,2006,23,10.6449940758294,2.36508974182386,59691.261465500094,216064,45964,41.2,189607,87.7550170319905,6.1024820172916604e-06,2.4078764100605998e-05,-0.0707264834916472,0.0021836192507152,0.0061024820172916605
36065,2006,16,6.822067683438999,1.92016260529567,39899.8195330501,234533,46708,40.4,200945,85.6787744155407,9.23891442703728e-06,-1.3739837600432001e-05,-0.0156767743874426,0.00149390082270617,0.00923891442703728
36067,2006,37,7.97922812828874,2.07684168100512,82996.7812997251,463704,50676,38.3,371570,80.1308593413039,1.35520273044846e-05,-5.7175698129170405e-06,0.00950868442405195,-0.004138622502882329,0.0135520273044846
