County_cd,State,County_nm,pills
13055,GA,CHATTOOGA,1717400
13057,GA,CHEROKEE,6109740
13059,GA,CLARKE,5614050
13061,GA,CLAY,117950
13063,GA,CLAYTON,5396122
13065,GA,CLINCH,457400
13067,GA,COBB,18783169
13069,GA,COFFEE,3139040
13071,GA,COLQUITT,1261060
13073,GA,COLUMBIA,3693450
13075,GA,COOK,566100
13077,GA,COWETA,3692440
13079,GA,CRAWFORD,110780
13081,GA,CRISP,1041330
13083,GA,DADE,878870
13085,GA,DAWSON,1228220
13087,GA,DECATUR,1097830
13089,GA,DEKALB,10945070
13091,GA,DODGE,1066740
13093,GA,DOOLY,92580
13095,GA,DOUGHERTY,2831060
13097,GA,DOUGLAS,5414890
13099,GA,EARLY,243300
13103,GA,EFFINGHAM,1395090
13105,GA,ELBERT,1339990
13107,GA,EMANUEL,950470
13109,GA,EVANS,789550
13111,GA,FANNIN,1760520
13113,GA,FAYETTE,3071009
13115,GA,FLOYD,7486705
13117,GA,FORSYTH,4133950
13119,GA,FRANKLIN,2246330
13121,GA,FULTON,18582349
13123,GA,GILMER,1703600
13127,GA,GLYNN,3651740
13129,GA,GORDON,2273870
13131,GA,GRADY,554130
13133,GA,GREENE,810580
13135,GA,GWINNETT,16024949
13137,GA,HABERSHAM,1968810
13139,GA,HALL,6825909
13141,GA,HANCOCK,114300
13143,GA,HARALSON,3167110
13145,GA,HARRIS,136700
13147,GA,HART,1507440
13149,GA,HEARD,281130
13151,GA,HENRY,5934536
13153,GA,HOUSTON,5763450
13155,GA,IRWIN,180800
13157,GA,JACKSON,2772140
13159,GA,JASPER,328300
13161,GA,JEFF DAVIS,614570
13163,GA,JEFFERSON,567830
13165,GA,JENKINS,238700
13167,GA,JOHNSON,178470
13169,GA,JONES,607930
13171,GA,LAMAR,525690
13173,GA,LANIER,261450
13175,GA,LAURENS,2705990
13177,GA,LEE,225090
13179,GA,LIBERTY,906500
13181,GA,LINCOLN,287100
13183,GA,LONG,104900
13185,GA,LOWNDES,4338230
13187,GA,LUMPKIN,631710
13193,GA,MACON,500700
13195,GA,MADISON,1289600
13197,GA,MARION,87390
13189,GA,MCDUFFIE,1179460
13191,GA,MCINTOSH,640520
13199,GA,MERIWETHER,729040
13201,GA,MILLER,200700
13205,GA,MITCHELL,693620
13207,GA,MONROE,775240
13209,GA,MONTGOMERY,68200
13211,GA,MORGAN,554760
13213,GA,MURRAY,1716360
13215,GA,MUSCOGEE,7662650
13217,GA,NEWTON,3217040
13219,GA,OCONEE,574510
13221,GA,OGLETHORPE,326290
13223,GA,PAULDING,4172380
13225,GA,PEACH,831640
13227,GA,PICKENS,1418020
13229,GA,PIERCE,765300
13231,GA,PIKE,192100
13233,GA,POLK,3634820
13235,GA,PULASKI,954360
13237,GA,PUTNAM,491960
13241,GA,RABUN,1089230
13243,GA,RANDOLPH,157520
13245,GA,RICHMOND,7116170
13247,GA,ROCKDALE,3763720
13249,GA,SCHLEY,57900
13251,GA,SCREVEN,259000
13253,GA,SEMINOLE,478230
13255,GA,SPALDING,2987610
13257,GA,STEPHENS,3144560
13259,GA,STEWART,128800
13261,GA,SUMTER,819670
13267,GA,TATTNALL,1223060
13269,GA,TAYLOR,290500
13271,GA,TELFAIR,866350
13273,GA,TERRELL,136900
13275,GA,THOMAS,1561600
13277,GA,TIFT,1782080
13279,GA,TOOMBS,1608430
13281,GA,TOWNS,468130
13283,GA,TREUTLEN,256430
13285,GA,TROUP,2355300
13287,GA,TURNER,260500
13289,GA,TWIGGS,77300
13291,GA,UNION,978100
13293,GA,UPSON,1325030
13295,GA,WALKER,2723000
13297,GA,WALTON,3968270
13299,GA,WARE,2980790
13301,GA,WARREN,74500
13303,GA,WASHINGTON,682760
13305,GA,WAYNE,1751790
13309,GA,WHEELER,215500
13311,GA,WHITE,964840
13313,GA,WHITFIELD,4207800
13315,GA,WILCOX,227170
13317,GA,WILKES,498000
13319,GA,WILKINSON,346730
13321,GA,WORTH,523200
66010,GU,GUAM,353900
15001,HI,HAWAII,7668510
15003,HI,HONOLULU,14265480
15007,HI,KAUAI,2939910
15009,HI,MAUI,6649220
19001,IA,ADAIR,217900
19003,IA,ADAMS,91400
19005,IA,ALLAMAKEE,251900
19007,IA,APPANOOSE,452700
19009,IA,AUDUBON,104900
19011,IA,BENTON,372500
19013,IA,BLACK HAWK,3257310
19015,IA,BOONE,843800
19017,IA,BREMER,728950
19019,IA,BUCHANAN,242000
19021,IA,BUENA VISTA,295600
19023,IA,BUTLER,152200
19025,IA,CALHOUN,165100
19027,IA,CARROLL,634300
19029,IA,CASS,393610
19031,IA,CEDAR,161700
19033,IA,CERRO GORDO,1722420
19035,IA,CHEROKEE,178300
19037,IA,CHICKASAW,138600
19039,IA,CLARKE,362800
19041,IA,CLAY,393960
19043,IA,CLAYTON,229900
19045,IA,CLINTON,1398390
19047,IA,CRAWFORD,326220
19049,IA,DALLAS,834400
19051,IA,DAVIS,102580
19053,IA,DECATUR,204300
19055,IA,DELAWARE,178200
19057,IA,DES MOINES,1571940
19059,IA,DICKINSON,385600
19061,IA,DUBUQUE,2070300
19063,IA,EMMET,129700
19065,IA,FAYETTE,533800
19067,IA,FLOYD,271600
19069,IA,FRANKLIN,221600
19071,IA,FREMONT,123800
19073,IA,GREENE,293600
19075,IA,GRUNDY,437700
19077,IA,GUTHRIE,264900
19079,IA,HAMILTON,398200
19081,IA,HANCOCK,148800
19083,IA,HARDIN,495160
19085,IA,HARRISON,470400
19087,IA,HENRY,427010
19089,IA,HOWARD,329700
19091,IA,HUMBOLDT,220700
19093,IA,IDA,208920
19095,IA,IOWA,260900
19097,IA,JACKSON,380500
19099,IA,JASPER,1194660
19101,IA,JEFFERSON,596000
19103,IA,JOHNSON,1744050
19105,IA,JONES,349530
19107,IA,KEOKUK,67400
19109,IA,KOSSUTH,290800
19111,IA,LEE,1612400
19113,IA,LINN,5030188.5
19115,IA,LOUISA,80800
19117,IA,LUCAS,317500
19119,IA,LYON,189300
19121,IA,MADISON,420900
19123,IA,MAHASKA,712460
19125,IA,MARION,958130
19127,IA,MARSHALL,1212950
19129,IA,MILLS,272400
19131,IA,MITCHELL,86700
19133,IA,MONONA,291870
19135,IA,MONROE,233200
19137,IA,MONTGOMERY,365240
19139,IA,MUSCATINE,1006600
19141,IA,OBRIEN,163800
19143,IA,OSCEOLA,90300
19145,IA,PAGE,576440
19147,IA,PALO ALTO,128900
19149,IA,PLYMOUTH,298030
19151,IA,POCAHONTAS,131800
19153,IA,POLK,19042990
19155,IA,POTTAWATTAMIE,3039400
19157,IA,POWESHIEK,541630
19159,IA,RINGGOLD,142600
19161,IA,SAC,80500
19163,IA,SCOTT,5185770
19165,IA,SHELBY,218200
19167,IA,SIOUX,323160
19169,IA,STORY,1383130
19171,IA,TAMA,221560
19173,IA,TAYLOR,117800
19175,IA,UNION,542600
19177,IA,VAN BUREN,130200
19179,IA,WAPELLO,1395680
19181,IA,WARREN,1194390
19183,IA,WASHINGTON,387300
19185,IA,WAYNE,185200
19187,IA,WEBSTER,1430490
19189,IA,WINNEBAGO,290190
