county_id,2006,2007,2008,2009,2010,2011,2012
08047,132,126,102,205,289,562,461
08049,2356,2665,2753,2681,2335,2468,2545
08051,1781,1790,2137,2471,2786,2885,2958
08053,16,26,47,52,20,13,7
08055,982,976,1213,1393,1733,2105,2179
08059,113742,114221,128850,142972,158104,193347,198787
08061,222,360,411,411,484,498,320
08063,260,412,548,640,640,636,781
08067,8838,8951,8426,8295,8443,10005,10558
08065,1027,1096,991,957,1206,1811,1690
08069,46927,54829,60132,62785,69864,77188,78215
08071,4758,3999,4451,4418,4997,5263,5559
08073,794,877,1177,1390,1567,1457,1526
08075,3106,3543,3410,3676,3917,3993,4383
08077,26637,29815,32912,33219,36725,42783,47137
08081,2283,2915,3283,3793,4560,5031,4687
08083,5690,6197,6916,6569,7165,8727,9194
08085,5202,6955,7539,8507,9562,10785,11334
08087,3359,3655,4153,4420,5034,6089,6091
08089,5830,6609,7274,7837,9772,11467,11671
08091,530,429,475,550,557,743,811
08093,583,597,613,594,780,942,1026
08095,287,258,271,324,448,764,586
08097,1360,1411,1534,1643,1522,1687,1739
08099,2332,2759,3054,3743,4340,4669,4775
08101,41082,47497,58573,79370,91775,111436,116702
08103,498,472,553,374,635,806,1662
08105,1332,927,1140,2411,2140,2615,3844
08107,4210,4476,4329,4669,5551,5552,4557
08109,6,1,1,9,6,1,3
08111,4,0,0,0,0,0,0
08113,383,346,352,373,465,472,499
08115,321,312,362,377,440,783,854
08117,7400,8281,7773,7329,7633,7228,6727
08119,3055,3802,5560,6345,7331,9028,10626
08121,190,163,149,0,0,0,0
08123,28991,34419,40899,45655,53467,62549,64826
08125,876,908,1090,1309,1176,1351,1464
09001,112253,133157,132138,137782,149691,168918,174791
09003,130129,151646,161851,163787,174180,174396,186731
09005,34418,38631,40533,41367,43290,46371,48647
09007,29862,31183,31670,35179,38194,42314,42506
09009,188375,207250,205785,218875,238300,258992,271842
09011,44504,50016,53806,58783,62244,70570,76635
09013,15609,19020,20279,20791,21788,23047,23760
09015,21019,24646,26109,27241,28487,30190,30791
11001,48713,56365,55119,59376,65349,70668,72277
10001,30472,37410,44406,46256,54906,64092,57601
10003,115110,129778,157988,170477,188165,197339,178087
10005,56445,70727,87580,97821,114998,128919,96256
12001,54294,56118,64869,73351,74339,75170,64830
12003,8450,11144,11884,13641,17082,17866,13116
12005,50655,46572,49160,53031,60871,62817,68251
12007,8450,9861,10934,12452,14384,12075,10056
12009,121039,143028,169937,183556,226565,219692,182934
12011,453388,593627,702946,825594,949190,578276,376205
12013,1700,1622,1760,1925,2126,1932,1944
12015,42312,46668,57171,69064,81085,77723,54899
12017,34227,38276,41632,45156,54855,70606,51717
12019,46009,52861,59150,67219,73312,75101,73326
12021,53223,59638,65763,81749,92949,90667,68131
12023,15559,17028,20635,22076,27460,25775,24254
12029,1464,1580,1634,1555,1417,1305,1550
12031,196107,232966,242406,284299,360285,359950,322712
12033,63765,74727,75449,80002,92828,89697,77479
12035,13710,15080,17543,22838,25664,27138,27385
12037,1346,1241,1407,1382,1854,1703,1678
12039,5176,5553,5676,5920,6329,6840,6238
12041,1812,1798,2180,2733,2748,2977,2826
12045,1917,2261,2219,2370,2762,2569,3248
12047,1219,1395,1773,1430,1921,1812,1360
12049,2837,3019,3329,3960,4379,4573,4096
12051,9276,9806,10517,11019,12672,12171,10295
12053,53912,64728,85515,98080,122381,101849,82000
12055,16275,16112,17536,18859,23446,26451,22165
12057,628041,464509,536053,704001,886454,598107,409951
12059,2984,3544,3711,2688,2432,2596,2881
12061,27910,31128,36729,43357,51159,60802,48519
12063,7130,8327,8860,9270,10389,10552,11804
12065,1565,1740,1791,2016,1944,2100,1991
12067,765,861,772,898,829,875,1145
12069,44458,52090,60587,73652,85573,89175,84770
12071,143559,143259,159689,188905,260501,238845,154361
12073,33656,37396,42316,44513,39065,40376,41548
12075,15082,19208,20042,19769,20227,25323,17869
12077,302,298,365,378,645,470,409
12079,2426,2673,2711,2819,3408,3853,4118
12081,93426,104070,106130,110846,144076,142705,109968
12083,74560,83895,91141,96726,108128,107338,98285
12085,31563,34224,39259,45835,53895,52015,39271
12087,25757,28176,31686,38352,38526,36017,26297
12089,19445,22100,25612,27893,32440,37173,35065
12091,30567,32670,34198,34974,38059,40884,41873
12093,12173,13256,14533,16798,22542,20574,15717
12095,149796,165158,217640,294904,434154,399566,288268
12097,30491,36538,46200,83554,99348,71875,54319
12099,291751,358376,465202,616478,633100,453078,307180
12101,139422,153626,190140,209173,260995,250508,162458
12103,397454,322241,383104,396502,504624,491492,343117
12105,150467,113435,116501,124642,152507,152606,134028
12107,22522,24160,26185,32905,39706,38897,28822
12109,27960,29895,33280,39071,51597,45768,40175
12111,47646,52596,60083,69569,81989,100039,65019
12113,24805,31370,35133,40724,48778,49266,43527
12115,104592,122394,137567,142931,158055,161333,122325
12117,85310,96767,117073,147318,196230,208730,118734
12119,12089,15059,15273,18925,27414,26919,24079
12121,7498,8375,8777,8623,9321,9366,8992
12123,5160,6562,7916,10746,7620,8081,7694
12125,1802,1913,2480,2858,3049,2671,2570
12127,108609,119160,140776,175247,206061,199050,154624
12129,4502,5662,6055,6013,6420,7250,7359
12131,13342,15418,14151,14722,17078,17250,16577
12133,5553,6864,8172,9158,9853,9622,10189
13001,2275,2629,2976,3465,4707,4712,5079
13003,879,1049,1331,1322,2169,2000,2518
13005,2948,4350,4010,4665,9057,7989,7125
13007,5,0,0,0,0,0,0
13009,6772,8046,9256,9900,10565,12171,14116
13011,1259,1381,2160,2632,3569,3852,3683
13013,11915,14879,16903,18967,21012,21525,21188
13015,19224,22541,26487,29958,36380,39982,37985
13017,2972,4073,5213,5811,6553,7632,7383
13019,2980,3121,2974,3056,3487,3571,3918
13021,47788,51567,56372,59118,66362,72756,72379
13023,2785,3120,3364,3477,4666,5264,5589
13025,1569,1647,2232,3031,4055,3073,2388
13027,2413,2696,2544,3751,4582,7170,7585
13029,4957,5412,5968,7143,8479,9724,10692
13031,6393,8077,9391,10391,13246,13741,13262
13033,3775,2400,2772,3296,3835,4355,4438
13035,3804,4197,4748,3878,5153,6262,7178
13037,258,268,280,345,498,613,650
13039,11584,12793,11846,10960,13667,14352,14770
13043,1709,1957,2237,2557,3063,3168,3578
13045,33635,37907,40151,45495,47564,51595,52588
13047,12376,15803,18718,21032,24456,25520,27859
13049,1891,1763,1933,2353,3378,3698,3783
13051,42519,44810,51435,60593,69883,81803,80219
13055,6843,8691,9499,10645,11788,12060,12953
13057,30737,40596,40110,43328,49072,59282,49251
13059,27016,31590,31106,33055,34872,40585,42331
13061,251,245,332,371,546,376,348
13063,26015,29357,33258,36044,39833,42892,38739
13065,2061,2638,2838,2739,3008,3534,3566
13067,108709,116699,117090,128140,142065,193491,162056
13069,11384,12814,14819,15983,24103,23972,18793
13071,4340,5817,6479,6608,8003,9375,10174
13073,20020,21823,22652,25830,28232,35705,35252
13075,1942,2325,2571,2573,3424,3966,4053
13077,16628,18560,21710,25395,29941,43920,42059
13079,406,527,567,620,1110,1045,1196
13081,3994,4048,4676,5161,5637,6332,6845
13083,2910,3810,4293,4598,5168,5401,5125
13085,5537,6797,7468,8166,8630,9158,9086
13087,4072,4849,5713,7234,6824,7907,8727
13089,50437,61672,61900,66228,72646,84177,84460
13091,4731,5230,5789,5891,6292,7463,7429
13093,418,309,392,354,551,488,489
13095,12331,14098,15179,18189,20201,23258,24751
13097,26492,28707,32972,36942,40571,50480,41517
13099,832,1248,1364,1249,1342,1579,1759
13103,6646,7435,7934,9078,8937,10650,11143
13105,4789,5307,6393,6661,6765,6806,7044
13107,4293,4892,5483,4715,6056,6421,6821
13109,3214,4314,4748,4356,4510,5076,5659
13111,6818,7766,8772,10745,12677,10395,11684
13113,16249,17732,19465,21624,22513,25107,26747
13115,32534,39064,44980,47823,50716,57339,55410
13117,15432,18007,20772,26883,28855,31332,29599
13119,8502,9232,9473,10594,12122,12744,11996
13121,103855,122131,122970,134568,146912,162545,160027
13123,7027,8713,10938,12469,12988,13557,13016
13125,1,4,4,0,0,0,0
13127,16279,19585,22010,23928,28005,27297,25067
13129,10029,12244,13687,14563,17378,17811,17671
13131,2436,2344,2348,2515,3164,3818,4359
13133,3262,4063,4427,4864,5224,6122,6303
13135,75869,88107,92331,100868,107670,134348,133287
13137,8025,9267,10778,12116,12533,13310,13066
13139,23478,29079,35776,40850,45322,47080,47974
13141,266,253,263,280,495,477,486
13143,13401,17628,19208,20107,20776,22671,23612
13145,945,826,868,930,1134,770,844
13147,5958,7282,7982,8217,8235,9480,9435
13149,380,549,950,1227,1225,1406,1112
13151,24398,28331,30705,36487,40739,50057,56001
13153,23119,28585,32149,35890,41930,47961,50693
13155,674,625,652,661,930,913,1179
13157,9981,11652,12746,14795,18588,20904,22464
13159,1117,1359,1712,1651,2186,2260,2348
13161,2454,2918,3358,3460,4299,5745,5629
13163,3209,2425,2440,2655,3350,4384,4901
13165,1219,1153,1222,1217,1678,1779,1924
13167,1007,1175,1071,1038,1347,1297,1347
13169,2003,2151,2785,3402,4033,4050,4078
13171,1652,2142,2358,2705,3183,3691,3991
13173,699,735,922,1053,1158,1181,1156
13175,13450,14860,15561,15156,18519,19954,20245
13177,834,1012,1079,1342,1474,2351,3042
13179,4591,5359,6218,6665,7801,8923,8921
13181,5550,5968,582,667,865,851,854
13183,416,548,622,621,917,847,841
13185,17610,19569,22260,27370,32079,35159,40357
13187,3090,3954,4410,4864,5543,6271,6377
13193,1881,2048,2085,1981,2368,2201,2576
13195,5098,6566,7245,7505,8716,9514,10313
13197,277,260,298,314,438,342,91
13189,6121,6181,7096,7826,8308,9399,9907
13191,2075,2037,1945,2821,3603,5173,5881
13199,2710,3203,3544,3790,4099,4488,4670
13201,713,906,1028,1114,1281,1367,1440
13205,3329,4022,4059,4541,5392,6672,7360
13207,2836,3434,3695,4352,5109,5976,5100
13209,164,167,189,180,277,281,377
13211,2202,2521,2764,3267,3798,3934,4885
13213,4792,6055,7061,8199,8805,10327,10695
13215,34988,39413,44748,48480,55381,65958,85386
13217,10487,12810,15767,19141,20062,21530,22401
13219,2373,3372,3941,4270,4680,5188,5321
13221,724,1576,2126,2268,2566,2487,2148
13223,15315,20897,22739,26138,26504,28137,27464
13225,3037,3255,3144,3606,4406,5095,5713
13227,6220,7711,9050,8820,9392,10634,10866
13229,3234,3399,3395,3533,6016,4945,4844
13231,1427,1382,1232,1213,1369,1501,1561
13233,14984,18932,21448,22597,23385,25142,25191
13235,2919,3401,3805,4512,5184,6079,6612
13237,1976,2322,2878,3269,3422,3801,3852
13241,4925,5839,6953,6473,6652,6994,7238
13243,465,606,721,965,1209,1620,1422
13245,35483,41289,44427,47949,55832,61717,62413
13247,22413,15518,16718,33815,49389,53900,58220
13249,167,123,133,151,176,173,189
13251,1148,1312,1549,1710,1741,2086,2145
13253,1527,1771,1844,1913,2098,2480,2555
13255,15684,15192,15249,15977,20792,21612,24104
13257,10913,12960,16144,18020,19237,21671,19452
13259,398,374,374,419,612,568,496
13261,4238,3276,3629,3939,4565,5508,5716
13263,122,0,0,0,0,40,0
13267,2992,4176,5088,5252,5684,5862,6229
13269,837,946,913,890,1439,1299,1539
13271,3124,2945,3293,3179,5116,6002,4191
13273,387,380,394,528,602,751,914
13275,5752,6562,6717,7259,8634,9955,11597
13277,5097,6172,7312,8800,11200,12748,13552
13279,7074,6606,6811,7577,9357,9916,8964
13281,1538,1968,2263,2429,2671,3215,3707
13283,962,1077,1271,1127,1743,1652,1651
13285,8977,9511,11290,13406,14704,16975,20297
13287,1101,1134,1106,1225,1667,1877,2002
13289,819,222,217,243,362,386,454
13291,3570,4764,5229,6472,7717,8384,8604
13293,4298,5679,6717,7096,9139,9310,10137
13295,8924,10709,11942,14070,15134,17411,17677
13297,15065,17348,20531,22333,24532,28229,27267
13299,14577,16693,15944,16782,20352,20042,19284
13301,119,201,300,325,699,688,640
13303,2965,3450,3917,4610,4673,4906,5225
13305,5544,6705,7926,9118,13690,15046,13263
13309,628,541,686,744,1145,1732,1548
13311,3314,3952,4674,5723,7310,8412,9011
13313,13393,14845,17287,22124,24985,28118,27358
13315,771,826,957,790,1122,1341,1752
13317,2010,2470,2697,3142,3125,3538,3881
13319,885,868,1130,1207,1715,1794,2050
13321,1721,2058,2205,2506,2894,3452,3790
15001,40619,43769,48991,49216,51795,53742,55102
15003,78779,85925,93722,94380,104369,116459,126674
15007,17415,16231,17989,19492,19144,17326,16484
15009,30553,35128,39971,45770,48950,50899,50382
19001,768,749,890,1091,1229,1436,1458
19003,346,403,503,441,236,211,202
19005,631,820,916,915,1015,1360,1086
19007,2373,2739,2852,2711,3256,3798,3527
19009,377,367,443,547,629,661,657
19011,1395,1474,1700,1801,1853,1988,2209
19013,11890,14317,16491,18144,20034,22590,23044
19015,3553,4098,4485,4550,4836,5344,4835
19017,2447,3048,4972,4083,5251,6071,6647
19019,908,982,1287,1462,1571,1986,2064
19021,779,1001,1077,1352,1529,1778,1875
19023,573,658,834,1036,1172,1302,1074
19025,1023,1033,912,975,1096,1217,1245
19027,2505,2677,2985,3068,3202,3851,4283
19029,1491,1805,2128,2425,3328,3638,3467
19031,663,790,784,809,866,1091,1190
19033,6188,6987,7511,8687,10190,11499,12443
19035,571,611,688,839,982,1180,1060
19037,541,517,558,757,853,1079,1456
19039,853,1099,1615,1704,2049,2720,2613
19041,1346,1621,1706,2181,2706,3004,2806
19043,1040,1204,1198,1099,1195,1539,1397
19045,4524,4916,5187,6010,6726,8250,9719
19047,1100,1365,1491,1866,1996,2075,1875
19049,2511,3115,3379,3712,4484,5251,4908
19051,384,424,372,406,428,466,649
19053,692,739,720,818,928,1209,1459
19055,625,795,878,923,1139,1302,1608
19057,5252,5794,6678,7950,8411,9069,9901
