County_cd,State,County_nm,pills
19159,IA,RINGGOLD,161200
19161,IA,SAC,137400
19163,IA,SCOTT,6224080
19165,IA,SHELBY,266180
19167,IA,SIOUX,457550
19169,IA,STORY,1650610
19171,IA,TAMA,293600
19173,IA,TAYLOR,82300
19175,IA,UNION,582710
19177,IA,VAN BUREN,179530
19179,IA,WAPELLO,1556910
19181,IA,WARREN,1434120
19183,IA,WASHINGTON,516800
19185,IA,WAYNE,184300
19187,IA,WEBSTER,1598810
19189,IA,WINNEBAGO,399940
19191,IA,WINNESHIEK,307300
19193,IA,WOODBURY,2633240
19195,IA,WORTH,85250
19197,IA,WRIGHT,517160
16001,ID,ADA,18913957
16003,ID,ADAMS,1400
16005,ID,BANNOCK,4328620
16007,ID,BEAR LAKE,330680
16009,ID,BENEWAH,377800
16011,ID,BINGHAM,1638360
16013,ID,BLAINE,515020
16017,ID,BONNER,1960430
16019,ID,BONNEVILLE,5288460
16021,ID,BOUNDARY,559590
16023,ID,BUTTE,123400
16027,ID,CANYON,8096850
16029,ID,CARIBOU,324860
16031,ID,CASSIA,1454660
16035,ID,CLEARWATER,455100
16037,ID,CUSTER,89900
16039,ID,ELMORE,865540
16041,ID,FRANKLIN,429500
16043,ID,FREMONT,214470
16045,ID,GEM,1039100
16047,ID,GOODING,570920
16049,ID,IDAHO,569520
16051,ID,JEFFERSON,400600
16053,ID,JEROME,871500
16055,ID,KOOTENAI,6608390
16057,ID,LATAH,1208880
16059,ID,LEMHI,459700
16061,ID,LEWIS,467400
16065,ID,MADISON,782360
16067,ID,MINIDOKA,440900
16069,ID,NEZ PERCE,2842320
16071,ID,ONEIDA,195170
16073,ID,OWYHEE,205100
16075,ID,PAYETTE,612200
16077,ID,POWER,285900
16079,ID,SHOSHONE,1121100
16081,ID,TETON,265290
16083,ID,TWIN FALLS,4975070
16085,ID,VALLEY,523640
16087,ID,WASHINGTON,552900
17001,IL,ADAMS,3467590
17003,IL,ALEXANDER,154400
17005,IL,BOND,543790
17007,IL,BOONE,1588530
17009,IL,BROWN,124000
17011,IL,BUREAU,646340
17013,IL,CALHOUN,126160
17015,IL,CARROLL,265190
17017,IL,CASS,226200
17019,IL,CHAMPAIGN,5426170
17021,IL,CHRISTIAN,1459250
17023,IL,CLARK,801100
17025,IL,CLAY,392560
17027,IL,CLINTON,713570
17029,IL,COLES,2185200
17031,IL,COOK,100587174
17033,IL,CRAWFORD,817840
17035,IL,CUMBERLAND,193950
17037,IL,DEKALB,2365490
17039,IL,DEWITT,563400
17041,IL,DOUGLAS,602090
17043,IL,DUPAGE,21917140
17045,IL,EDGAR,799490
17047,IL,EDWARDS,249490
17049,IL,EFFINGHAM,1785850
17051,IL,FAYETTE,713710
17053,IL,FORD,574880
17055,IL,FRANKLIN,2891330
17057,IL,FULTON,1296310
17059,IL,GALLATIN,132270
17061,IL,GREENE,684960
17063,IL,GRUNDY,1876700
17065,IL,HAMILTON,253700
17067,IL,HANCOCK,360450
17069,IL,HARDIN,469690
17071,IL,HENDERSON,91500
17073,IL,HENRY,1174140
17075,IL,IROQUOIS,1163750
17077,IL,JACKSON,3268820
17079,IL,JASPER,199060
17081,IL,JEFFERSON,1910530
17083,IL,JERSEY,1393810
17085,IL,JO DAVIESS,549740
17087,IL,JOHNSON,414320
17089,IL,KANE,8874470
17091,IL,KANKAKEE,4781260
17093,IL,KENDALL,2787970
17095,IL,KNOX,2383230
17099,IL,LA SALLE,4175500
17097,IL,LAKE,16747680
17101,IL,LAWRENCE,937290
17103,IL,LEE,791310
17105,IL,LIVINGSTON,1543230
17107,IL,LOGAN,1159050
17115,IL,MACON,4930380
17117,IL,MACOUPIN,1670970
17119,IL,MADISON,14448510
17121,IL,MARION,1898690
17123,IL,MARSHALL,457230
17125,IL,MASON,548350
17127,IL,MASSAC,1183740
17109,IL,MCDONOUGH,862820
17111,IL,MCHENRY,8823100
17113,IL,MCLEAN,3624442
17129,IL,MENARD,189410
17131,IL,MERCER,228190
17133,IL,MONROE,1293980
17135,IL,MONTGOMERY,1506170
17137,IL,MORGAN,1629630
17139,IL,MOULTRIE,339840
17141,IL,OGLE,1273620
17143,IL,PEORIA,6951770
17145,IL,PERRY,1168540
17147,IL,PIATT,527200
17149,IL,PIKE,584200
17151,IL,POPE,121680
17153,IL,PULASKI,330650
17155,IL,PUTNAM,107300
17157,IL,RANDOLPH,1529620
17159,IL,RICHLAND,859590
17161,IL,ROCK ISLAND,3935810
17163,IL,SAINT CLAIR,10207220
17165,IL,SALINE,2652310
17167,IL,SANGAMON,9016750
17169,IL,SCHUYLER,241300
17173,IL,SHELBY,388750
17175,IL,STARK,12320
17177,IL,STEPHENSON,1657920
17179,IL,TAZEWELL,5567430
17181,IL,UNION,1236290
17183,IL,VERMILION,4498040
17185,IL,WABASH,624680
17187,IL,WARREN,443250
17189,IL,WASHINGTON,315820
17191,IL,WAYNE,788590
17193,IL,WHITE,866250
17195,IL,WHITESIDE,1574520
17197,IL,WILL,17697915
17199,IL,WILLIAMSON,5867900
17201,IL,WINNEBAGO,13497700
17203,IL,WOODFORD,943350
18001,IN,ADAMS,999150
18003,IN,ALLEN,14123570
18005,IN,BARTHOLOMEW,6205940
18007,IN,BENTON,126700
18009,IN,BLACKFORD,1406040
18011,IN,BOONE,3070420
18013,IN,BROWN,393900
18015,IN,CARROLL,462100
18017,IN,CASS,1681000
18019,IN,CLARK,9652230
18021,IN,CLAY,1507400
18023,IN,CLINTON,2103855
18025,IN,CRAWFORD,431100
18027,IN,DAVIESS,2468360
18033,IN,DE KALB,1652650
18029,IN,DEARBORN,3259480
18031,IN,DECATUR,1365190
18035,IN,DELAWARE,9542130
18037,IN,DUBOIS,2655160
18039,IN,ELKHART,7747840
18041,IN,FAYETTE,2765340
18043,IN,FLOYD,7530032
18045,IN,FOUNTAIN,1313650
18047,IN,FRANKLIN,897480
18049,IN,FULTON,1350330
18051,IN,GIBSON,2249100
18053,IN,GRANT,5649490
18055,IN,GREENE,1906460
18057,IN,HAMILTON,10463680
18059,IN,HANCOCK,3333070
18061,IN,HARRISON,2343710
18063,IN,HENDRICKS,7724640
18065,IN,HENRY,4255000
18067,IN,HOWARD,7131920
18069,IN,HUNTINGTON,2102300
18071,IN,JACKSON,3163480
18073,IN,JASPER,2317230
18075,IN,JAY,1725300
18077,IN,JEFFERSON,2183580
18079,IN,JENNINGS,2262250
18081,IN,JOHNSON,9782300
18083,IN,KNOX,3702520
18085,IN,KOSCIUSKO,3497805
18091,IN,LA PORTE,6479052
18087,IN,LAGRANGE,591380
18089,IN,LAKE,23000290
18093,IN,LAWRENCE,4460890
18095,IN,MADISON,12256980
18097,IN,MARION,57937730
18099,IN,MARSHALL,2191210
18101,IN,MARTIN,823200
18103,IN,MIAMI,1295320
18105,IN,MONROE,6358070
18107,IN,MONTGOMERY,2554080
18109,IN,MORGAN,5702380
18111,IN,NEWTON,218260
18113,IN,NOBLE,1961670
18115,IN,OHIO,160000
18117,IN,ORANGE,1426590
18119,IN,OWEN,998810
18121,IN,PARKE,471110
18123,IN,PERRY,1001330
18125,IN,PIKE,682140
18127,IN,PORTER,9256800
18129,IN,POSEY,1446980
18131,IN,PULASKI,717330
18133,IN,PUTNAM,1820140
18135,IN,RANDOLPH,1321740
18137,IN,RIPLEY,1907790
18139,IN,RUSH,1042000
18143,IN,SCOTT,3140430
18145,IN,SHELBY,2341420
18147,IN,SPENCER,1013940
18141,IN,ST JOSEPH,12162440
18149,IN,STARKE,2406350
18151,IN,STEUBEN,1256620
18153,IN,SULLIVAN,1647380
18155,IN,SWITZERLAND,321200
18157,IN,TIPPECANOE,8364570
18159,IN,TIPTON,475420
18161,IN,UNION,249100
18163,IN,VANDERBURGH,16385530
18165,IN,VERMILLION,951000
18167,IN,VIGO,7102500
18169,IN,WABASH,1904920
18173,IN,WARRICK,3089980
18175,IN,WASHINGTON,1758970
18177,IN,WAYNE,4738380
18179,IN,WELLS,1031580
18181,IN,WHITE,1158830
18183,IN,WHITLEY,1791110
20001,KS,ALLEN,990900
20003,KS,ANDERSON,259500
20005,KS,ATCHISON,911790
20007,KS,BARBER,206310
